	01/10/01,Buy,	NAVB,2800,19/32,19.95
	04/18/01,Buy,	NAVB,4200,0.47,19.95
	04/23/01,Buy,	NAVB,5000,0.48,19.95
	04/23/01,Buy,	NAVB,4000,0.49,19.95
	05/17/01,Buy,	NAVB,3500,0.44,19.95
	08/16/01,Buy,	NAVB,5000,0.57,19.95
	08/16/01,Buy,	NAVB,5000,0.58,19.95
	08/16/01,Buy,	NAVB,5000,0.57,19.95
	08/16/01,Buy,	NAVB,5000,0.58,19.95
	08/20/01,Buy,	NAVB,5000,0.55,19.95
	08/20/01,Buy,	NAVB,7500,0.55,19.95
	08/20/01,Buy,	NAVB,7500,0.56,19.95
	08/20/01,Buy,	NAVB,5000,0.55,19.95
	08/20/01,Buy,	NAVB,7500,0.55,19.95
	10/29/01,Buy,	NAVB,12500,0.43,19.95
	10/29/01,Buy,	NAVB,5000,0.43,19.95
	10/29/01,Buy,	NAVB,9000,0.49,19.95
	10/29/01,Buy,	NAVB,5000,0.49,19.95
	10/31/01,Buy,	NAVB,7500,0.45,19.95
	10/31/01,Buy,	NAVB,3500,0.45,19.95
	12/11/01,Buy,	NAVB,10000,0.37,19.95
	12/11/01,Buy,	NAVB,10000,0.37,19.95
	12/26/01,Buy,	NAVB,10000,0.41,19.95
